start	end	text
100	1840	Welcome to Wonder Cabinet.
4100	5600	I'm Anne Strangehamps.
5900	6860	And I'm Steve Paulson.
8100	10960	Where do you go when you need a dose of wonder?
11360	15080	A way to lift your spirits, let go of the day's heaviness.
15500	18220	Well, the biggest frame of reference we have is the cosmos,
18800	23480	an entire universe of expanded horizons and limitless possibility.
24040	27840	Where time flows differently, space bends and curves,
27840	31320	and reality is so much more than what our senses tell us.
32020	34160	Imagine you're a theoretical physicist.
34660	38060	You spend your whole life on the edge of all that wonder.
38580	42460	Every day you wake up and you do your best to understand it just a little bit better.
43080	45500	Maybe even discover something new.
46180	50800	What was it like for you to see that first photograph of the black hole?
50880	51340	Do you remember?
51600	53820	Yes, it was an incredible emotion.
53820	58600	It's like, you know, we've been studying an animal, mysterious all your life,
58660	59360	and then you see it.
59400	60640	Well, it exists, it's real.
61200	66020	This is Carlo Rovelli, and he is one of the world's most celebrated physicists.
66440	69080	Author of a string of best-selling books, including
69080	74520	Seven Brief Lessons on Physics, Reality is Not What It Seems, and The Order of Time.
74860	78040	We thought we would start this hour by playing this little story
78040	82820	that he told me a few years ago about one of his own favorite moments of wonder.
83820	88360	The best experience has not been the picture of the black hole,
88960	90640	which is a few years ago,
91460	93200	but a little bit before that,
93300	96580	there was the announce of the detection of the gravitational waves
96580	99260	that was produced by a black hole.
99260	104620	Since there are so many black holes in the sky,
105260	107060	they can meet and fall into one another.
107920	109200	They fall into one another,
109580	111980	they start orbiting, turning around,
112560	115320	then orbiting faster and faster, getting closer and closer,
115700	117980	faster, faster, faster, faster, faster, closer, closer, closer,
118100	118520	then whoop!
120020	122240	They just eat each other, so to say.
122240	124760	And if they do so,
124940	130580	they produce this enormously strong oscillation of space,
131160	132820	which is what was detected.
134040	136640	The announcement of that was given publicly,
137760	141020	and the press conference was during a class
141020	145240	I was giving to my students in Marseille on general relativity.
146320	148480	So I told the students,
148780	150320	look, there is this press conference,
150320	151740	they say they have gravitational waves,
151800	154300	they have not seen what they have seen,
154400	155280	they say they have seen,
155700	157660	and I turned the computer on,
158320	159340	in front of the class,
160080	162560	but before, I gave them the theory.
163680	166420	I explained to them that the black hole can merge,
166480	167540	and they produce this wave,
168380	171760	and oscillations, which first is slow and weak,
171820	173620	and then become faster and higher.
174260	175520	So if it was a sound,
175520	176700	it would be something like,
177020	177820	whoop!
177820	179460	It's a chirp,
179660	180900	the chirp of the black hole.
181200	181460	Whip!
182360	185400	And I drew the shape of this wave of the black hole.
186320	187960	Then we turned the computer on,
188400	189620	to the press conference.
190160	192620	The black holes are getting closer and closer to one another.
192840	194020	There is great emotion.
194580	195800	They're going to merge.
196420	196680	Boom.
197260	200460	The first time that this has ever been seen.
201000	201660	As I said,
201660	204360	We can hear gravitational waves.
204460	205960	We can hear the universe.
206440	208460	And this is a signal that we have measured.
209020	210540	There's the rumbling noise,
210760	212080	and then there's the chirp.
212300	214980	The shape of the wave appears,
215460	218040	and is exactly equal to the shape of drone of the black hole.
221040	221760	Whoop!
222300	224580	That's the chirp we've been looking for.
224580	226340	And the students,
226460	228360	it was a class of 20, 30 students,
228740	229420	all together,
229760	230340	Wow!
230700	230900	What?
233620	235440	There's like science at it best.
235620	236260	When you're really,
236580	237660	when you're really science,
237780	238980	it's shining.
239800	240880	Gravitational waves.
241140	241860	We did it.
241860	247180	That is an episode we did on
247180	248780	To the Best of Our Knowledge a while back,
248840	250380	and today we are excited to bring you
250380	253100	a brand new conversation with Carlo Rovelli.
253460	256560	Recorded at the Island of Knowledge in Italy.
256780	257680	Which, to be clear,
257740	259280	is not an actual island.
259500	261320	It's a small think tank in Tuscany
261320	262500	where three times a year,
262880	264860	small groups of scientists and philosophers
264860	268040	come together to explore some really big questions.
268040	268900	And this time,
269160	269980	Rovelli was there.
270280	271280	What do you want to talk about?
271280	272120	What's the topic?
272480	272760	You.
273300	273660	Oh boy.
275480	276040	Okay.
276700	278000	So I want to take you back
278000	280660	to your early years as a scientist.
281220	283420	Why did you want to become a physicist?
285920	288460	That was not an early call.
288960	291020	My actual plan after high school
291020	294040	was to go traveling the world.
294640	297540	My ambition was to become a beggar.
298680	299240	Really?
299560	299760	Yeah.
300100	301140	Travel around the world,
301140	301760	I don't know.
301760	302440	As a beggar.
302560	303880	The modern St. Francis,
303980	304880	holding out your hat.
304880	305480	Yeah, exactly.
305580	306100	You got it right.
306220	308140	It was not a lack of estimate in myself.
308300	309380	It was an overestimation.
309720	312340	The models were St. Francis or Buddha, right?
312500	314660	So it was an overambition.
314900	316220	So I have read that
316220	317760	one of your form of experiences,
317840	318800	probably more than one,
318980	320240	is psychedelics.
320380	321300	When you were a teenager,
321640	322780	LSD in particular?
322780	325180	Well, psychedelics is even before that.
325180	325540	Okay.
325840	327040	In fact, I was a teenager.
327120	327760	I was 16.
328120	328340	Ah.
328700	332560	I got into that because the little I read about it
332560	334340	sounded completely fascinating,
334580	336720	the idea of exploring state of consciousness,
337400	338940	seeing the world differently,
339120	340680	going with the mind, who knows where.
341400	343920	These were the early 70s.
344700	345820	I grew up in Verona.
345820	349440	It was a sort of provincial small town in Italy.
349780	351280	But I was visiting Paris.
352220	354420	And then a friend of a friend, you know,
354440	356320	said, oh, maybe I can get some LSD.
356500	357060	There is somebody,
357200	359000	a people called Los Pagnole, the Spanish.
359280	360260	I'll ask for him.
361360	363860	So he sell us these little pieces of paper
363860	366260	and we have no idea whether it's just cheating us.
366620	368520	Oh, these were like the acid blotters.
368760	369300	Yeah, exactly.
370020	370760	That was a first.
371040	372940	And it was a spectacular experience.
372940	374500	It was extremely powerful,
374740	376900	which left a big impact on me.
377240	379100	Why did it make such an impact on you?
379960	385140	It upset my sense of what I knew about reality entirely.
385940	386800	I was very young.
386880	388540	I mean, this was before my first girlfriend.
389100	389320	Yeah.
389480	390600	I mean, 16.
391380	391640	16.
391840	394400	That's young to start taking psychedelics.
394720	395620	LSD in particular.
395620	396660	It is young, yes.
397100	399120	I had the good fortune of a friend
399120	403900	that gave me the simplest, best instruction about it.
404420	406940	She said, look, whatever happens, don't worry, don't panic,
407140	408240	don't resist, let it go.
408360	409280	You're going to come back.
409640	413920	So, I mean, there was a first phase in which just dancing colors
413920	418740	and, you know, the houses becoming fat and beautiful.
419480	420340	All this.
420580	420820	Right.
420920	422880	What were solid lines became wavy.
423400	425280	Yeah, everything wavy and all this theater.
425640	427600	And we were, the three of us, super happy.
427600	431200	And then, but that was only the beginning.
431300	434640	Then at some point, I felt this wave arriving on me
434640	436560	and I just sat down under a tree.
436720	438020	We were in a park in the night
438020	442020	and put my hands in front of my eyes
442020	445060	and just felt that I was going totally elsewhere.
445220	450600	I remember the first images were this huge red color
451160	454700	that was opening and me going in and then closing behind me
454700	457980	and then this blue screen and opening and me going.
458280	460440	And I said, oh boy, what's going on here?
460980	464740	There was no, nothing of what was familiar around.
465000	466560	No space, no time, no myself.
467060	469360	With incredible beauty, incredible emotion,
469620	471060	incredible intensity.
471260	473780	Was it a single experience or did you have a few more like that?
473780	474080	No, I repeated it.
474260	475500	I'm talking about the first one
475500	478760	because it was really the one which opened up a world for me.
478760	481900	I repeated it not many times,
481900	486400	maybe in my life less than 10 times during my youth.
486980	487760	Then I stopped.
490220	492500	What did I took away from that?
494100	495840	You know, I do quantum gravity.
496040	497260	I do fundamental physics.
497440	498060	What is space?
498160	498760	What is time?
499440	500500	This seems like good training.
500740	501360	Yeah, exactly.
501360	502960	To become a theoretical physicist,
503280	505140	to question the nature of reality.
505380	506280	In a sense, yes.
506280	512420	I think there was a liberating, intellectually liberating thing.
512740	518700	The sense that reality can be profoundly different from our everyday.
519080	524220	The everyday view of reality, probably rooted in that,
524420	530440	I've always felt is like our sleepwalking without seeing what's behind it.
530720	533740	I mean, you're talking about experiences you had 50 years ago.
533740	535060	I'm talking about, yeah, yeah, yeah.
535080	536600	And you're saying you still think about those.
536800	537680	I still think about that.
538000	538200	Yeah.
538520	542240	So you went on, of course, to become a major theoretical physicist.
542440	543060	Yeah, much later.
543300	544600	I went to physics 10 years later.
544880	549100	But it sounds like those experiences maybe help push you in the direction
549100	550560	of wanting to become a physicist.
551040	551700	Yeah, maybe.
551860	552740	I was, yeah, sure.
552800	554100	I was rebellious as a kid.
554100	561080	I grew up in a loving family and in a provincial Italy, a bit fascist.
561700	563720	I was covered by love by my mother.
563940	566920	You know, love is the greatest thing around, but sometimes it's heavy.
567520	568940	I needed to run away.
570480	577160	The same summer in Paris, I met a friend from Sofia, Sofia, Bulgaria,
577560	580000	which at the time was the other side of the Iron Curtain.
580120	580940	It was the Soviet world.
580940	584640	We went into enormous political discussions and he kept saying,
584740	585740	yeah, you should come and see.
586620	587480	And so I decided to go.
588120	592240	So 16 alone, I hitchhiked through Europe from Paris to Sofia,
592360	595220	a thousand kilometers, sleeping in the fields.
595680	598440	I crossed into Soviet world.
599140	602780	And that was another liberating, mind liberating experience for me.
602920	607620	I realized that the Soviet world was nothing like we were told
607620	608900	by the Western propaganda.
608900	614580	But the shocking thing was that the Soviet propaganda was describing
614580	617680	a Western world, which is nothing like my experience.
618120	622260	So I realized that Europe was living at the time split in two parts.
622400	626460	Each one was telling a story about the other, which is completely fake.
626820	631540	And since then, I became very sensitive to propaganda somehow.
631880	632720	I listened to the news.
632720	637580	And even today, I spend my time listening to news from all over the world.
637780	639260	I regularly make the tour.
639400	642580	I listen to the Chinese, to the Indians, to the Brazilian, to the Iranians,
642700	646080	to the South Africans, to the Americans, the British, the Italian.
646560	649900	And it's so obvious that everybody's telling stories.
650400	653360	Well, and it's just, I mean, going back to those early years, too.
653440	655800	I mean, you said you started getting really interested in politics.
655800	658340	I mean, I know you became a student radical.
658640	661180	I mean, literally, manning the barricades.
661560	663360	I was a student radical.
663660	668780	There was a rebellion movement in Italy in the late 70s,
668800	671780	which was a long way from the sort of the 60s.
672500	675060	So, yes, I was involved in this radical politics.
675200	677800	I was fascinated by radical movements.
677800	682240	I mean, from Che Guevara to Mao Zedong, there was that generation.
682600	686260	And you were arrested at one point, right, for refusing military service?
686340	692880	I was arrested for refusing military service because I was strongly pacifist in that sense.
693660	696180	I don't believe in borders, even today.
696520	698480	I don't believe in patria.
698780	700360	They say I'm not patriotic.
701420	701940	Patriotism.
702060	703340	I don't believe in patriotism.
703340	707060	I believe in the fact that we are a single tribe all over the planet.
707820	709340	So, I want to come back to this.
709420	710580	I want to come back to politics.
710800	715040	But I want to spend a little bit of time talking about your work as a physicist.
715780	723740	Well, that was somehow the moment of political engagement ended up with quite a disappointment.
724580	727920	To put it brutally, we want to change the world,
728020	732140	made a revolution for a more gentle world without weapons, without borders.
732140	732820	And we failed.
732980	733780	We lost the revolution.
734420	736180	So, I had to find something else to do.
736180	742280	And at that precise moment, I fell in love with physics.
742740	745480	It was madly falling in love with physics.
746180	747640	Why did you fall in love with physics?
747640	752100	Because quantum mechanics and general relativity are the most beautiful human creations.
753280	754600	First, Einstein theory.
754700	756740	General relativity is incredibly spectacular.
757220	758540	It's better than LSD.
758540	765160	I mean, it's telling that reality is profoundly different than what we instinctively think.
765160	767200	But in a way, that works so well.
767280	770060	I mean, there's this curving of space, stretching on time.
770720	775180	And yet, this works fantastically to describe things which are really on the universe.
775420	777920	Gravitation waves, black holes, suspenseful universe.
778460	783020	So, it was the sense that you were getting closer to sort of what the nature of reality was?
783120	784680	Was that the fascination?
784800	787120	Or was it sort of at a mathematical level?
787300	788260	No, it was not mathematics.
788260	790200	I would have never been fascinated by mathematics.
790300	791280	I'm bored by mathematics.
791560	793060	I'm not a good mathematician.
793360	794640	I have to struggle through mathematics.
795120	799420	But it's sort of, my sense is, it's sort of like, I mean, the great thing about theoretical
799420	804120	physics is, I mean, you're sort of cracking the code in a sense of, you know, how all of
804120	807000	this, you know, is structured, came into being in a way, right?
807280	807980	Yes and no.
808100	814200	I would say it's a strong feeling of raising a veil and seeing something that you couldn't
814200	814800	see before.
815740	817740	Understanding profoundly better reality.
817740	820880	But that doesn't mean cracking the code.
821500	827420	And I never thought, and I still don't think, that science is getting at the bottom of things.
827520	828800	It's getting one more layer.
829160	830820	But maybe there's another layer.
830960	832200	There's another layer again.
832520	835920	I don't like the idea that we are getting to the bottom.
836500	840180	Well, I'm surprised that you say that because, I mean, your work on quantum gravity, I mean,
840220	844320	one of the things that you're famous for is this effort to reconcile these two
844320	850380	raving models of physics, of general relativity and quantum mechanics, which, you know, no
850380	852580	one has figured out how to sort of bring those two together.
853240	853680	Exactly.
853680	856740	And I think that there is a way of putting the two together.
856860	861000	That's what basically I spent my life on.
861140	862980	I've been paid all my life for trying.
862980	870820	And with friends and colleagues, we have a tentative way of bringing together quantum mechanics and Einstein
870820	871200	theories.
872080	873720	General relativity, I hope it works.
873820	874500	I hope it's good.
874620	880240	And I think it is understanding something more about the world, something deeper about
880240	880720	the world.
880860	884140	But look, if you have a girlfriend, you understand her better.
884360	886120	Do you really think you know everything about her?
886120	887400	No, of course not.
887580	888560	And so it's reality.
888920	889500	It's exactly.
889640	890300	It's like a girlfriend.
890440	894820	And it's wonderful when you open your eyes, when you communicate with a person.
895180	897860	And it's equally wonderful when you communicate with nature.
897980	900100	You see something about nature you didn't see before.
901040	903860	So, generativity is this kind of discovery.
904180	910120	Wow, we realize that this idea of a rigid space in which we are in a common time, this
910120	911900	is all approximation.
912240	913240	It's not the reality, right?
913280	914720	It's far more complicated than that.
914720	917560	So, you see beyond it, and you see more.
918640	923300	But I don't have the ambition that this, I've got the looking to the, talking to God
923300	924640	and getting to the bottom.
924640	928540	I mean, no, you know, not finding ultimate reality, but maybe getting a little closer
928540	931540	to what is real.
